cart_nome;cart_rodada;cart_pontos;cart_patr
The KingKiller FC;0;0;100
Vholim Rabah;0;0;100
Carpanos Futebol Clube;0;0;100
Al Bihlau;0;0;100
The KingKiller FC;1;49,8;97,45
Vholim Rabah;1;43,58;93,7
Carpanos Futebol Clube;1;41,8;92,42
Al Bihlau;1;78,11;124,42
The KingKiller FC;2;48,32;106,11
Vholim Rabah;2;95,61;109,56
Carpanos Futebol Clube;2;59,05;96,6
Al Bihlau;2;57,4;134,06
The KingKiller FC;3;48,44;107,35
Vholim Rabah;3;38,17;105,8
Carpanos Futebol Clube;3;58,61;100,82
Al Bihlau;3;22,73;124,49
The KingKiller FC;4;60,04;111,34
Vholim Rabah;4;74,94;114,79
Carpanos Futebol Clube;4;52,8;101,73
Al Bihlau;4;61,24;124,36
The KingKiller FC;5;95,53;120,45
Vholim Rabah;5;71,93;118,29
Carpanos Futebol Clube;5;79,52;105,7
Al Bihlau;5;86,33;128,95
The KingKiller FC;6;71,54;123,8
Vholim Rabah;6;58,15;115,58
Carpanos Futebol Clube;6;66,18;108,07
Al Bihlau;6;82,47;131,58
The KingKiller FC;7;89,14;132,82
Vholim Rabah;7;62,9;114,06
Carpanos Futebol Clube;7;60,41;107,71
Al Bihlau;7;82,05;137,88
The KingKiller FC;8;61,05;136,46
Vholim Rabah;8;57,73;113,81
Carpanos Futebol Clube;8;53,73;106,66
Al Bihlau;8;40,22;135,21
The KingKiller FC;9;51,39;136,56
Vholim Rabah;9;64,34;117,16
Carpanos Futebol Clube;9;80,39;111,38
Al Bihlau;9;69,09;137,35
The KingKiller FC;10;54,48;138,49
Vholim Rabah;10;51,8;115,76
Carpanos Futebol Clube;10;49,01;110,66
Al Bihlau;10;76,52;141,63
The KingKiller FC;11;50,44;139,64
Vholim Rabah;11;63,69;118,74
Carpanos Futebol Clube;11;76,52;112,44
Al Bihlau;11;64,46;143,5
The KingKiller FC;12;74,35;144,1
Vholim Rabah;12;63,95;117,36
Carpanos Futebol Clube;12;67,43;112,48
Al Bihlau;12;37,63;141,53
The KingKiller FC;13;98,25;153,09
Vholim Rabah;13;58,55;118,2
Carpanos Futebol Clube;13;88,8;116,5
Al Bihlau;13;91,25;147,96
The KingKiller FC;14;54,84;156,55
Vholim Rabah;14;52,14;118
Carpanos Futebol Clube;14;75,54;120,27
Al Bihlau;14;80,59;156,54
The KingKiller FC;15;86,29;159,84
Vholim Rabah;15;57,67;117,7
Carpanos Futebol Clube;15;71,43;122,88
Al Bihlau;15;82,61;157,18
The KingKiller FC;16;60,07;162,97
Vholim Rabah;16;60,77;120,57
Carpanos Futebol Clube;16;51,79;122,38
Al Bihlau;16;62,6;157,16
The KingKiller FC;17;87,37;168,5
Vholim Rabah;17;67,77;124,68
Carpanos Futebol Clube;17;77,13;123,95
Al Bihlau;17;75,21;154,4
The KingKiller FC;18;27,78;165,11
Vholim Rabah;18;59,54;127,17
Carpanos Futebol Clube;18;52,07;125,54
Al Bihlau;18;41,7;150,7
The KingKiller FC;19;67,08;165,37
Vholim Rabah;19;86,88;134,95
Carpanos Futebol Clube;19;82,95;131,38
Al Bihlau;19;54,98;147,7
The KingKiller FC;20;55,87;167,85
Vholim Rabah;20;53,72;133,27
Carpanos Futebol Clube;20;61,2;131,25
Al Bihlau;20;82,51;153,65
The KingKiller FC;21;78,34;170,17
Vholim Rabah;21;89,19;136,22
Carpanos Futebol Clube;21;104,1;135,24
Al Bihlau;21;90,31;153,98
The KingKiller FC;22;73,61;169,37
Vholim Rabah;22;59,21;134,43
Carpanos Futebol Clube;22;70,18;135,9
Al Bihlau;22;66,4;151,75
